   Star          Fcorr        Fcorr_err        Rel.Err.
HD56470       48.776616       15.824272      0.32442332
HIP2607       87.257478       19.990454      0.22909731
HIP112127       80.458039       29.091090      0.36156848
HIP14995       68.972309       43.994454      0.63785677
HIP2304       83.247452       23.667679      0.28430514
HD46308       163.72350       18.783906      0.11472944
HD180       244.90730       28.962886      0.11826061
HD33872       82.380643       16.591763      0.20140366
HD1879       386.85953       30.521917     0.078896640
HD8705       596.82469       51.289174     0.085936750
HD35369       663.01756       35.670508     0.053800245
HD10824       707.47135       28.042343     0.039637425
HD62082       774.92293       58.113084     0.074992082
HD23817       263.71301       140.80901      0.53394792
HD23817       482.15286       159.54480      0.33090087
HD11353       1610.3032       40.966385     0.025440169
HD672       916.37046       102.37933      0.11172265
HD85951       1198.2911       88.292285     0.073681831
HD1522       2247.5870       41.996166     0.018685001
HD68553       1999.8794       110.12182     0.055064230
HD39425       2484.2320       130.44522     0.052509273
HD54605       2766.9399       123.53322     0.044646151
HD32887       3688.5105       208.84493     0.056620396
HD198026       6381.2950       104.07756     0.016309787
HD219576       6248.1215       303.60732     0.048591775
HD186791       4124.0600       398.79049     0.096698520
HD206778       9594.8276       673.87258     0.070232901
HD223075       8456.1040       1692.6966      0.20017453
