OBS		ID		Kmag	FSUA			SkyCal BG	FF1		FF2		LabCal
test		test		0.0	FSUA_OBS_097_0001.fits	097_0001	097_0001	097_0002	--

OBS		ID		Kmag	FSUA			SkyCal BG	FF1		FF2		LabCal
P93MONNIERB2C1	HD187642	0.0	FSUA_OBS_188_0008.fits	188_0025	188_0049	188_0050	188
P93MONNIERB2C1	V1295Aql	0.0	FSUA_OBS_188_0009.fits	188_0026	188_0051	188_0052	188
P93MONNIERB2C1	HD187929	0.0	FSUA_OBS_188_0010.fits	188_0027	188_0053	188_0054	188
P93MONNIERB2C1	V1295Aql	0.0	FSUA_OBS_188_0011.fits	188_0028	188_0055	188_0056	188

P93MONNIERA1C1	HD187642	0.0	FSUA_OBS_188_0001.fits	188_0018	188_0035	188_0036	188
P93MONNIERA1C1	V1295Aql	0.0	FSUA_OBS_188_0002.fits	188_0019	188_0037	188_0038	188
P93MONNIERA1C1	HD187929	0.0	FSUA_OBS_188_0003.fits	188_0020	188_0039	188_0040	188
P93MONNIERA1C1	V1295Aql	0.0	FSUA_OBS_188_0004.fits	188_0021	188_0041	188_0042	188
P93MONNIERA1C1	HD187642	0.0	FSUA_OBS_188_0005.fits	188_0022	188_0043	188_0044	188
P93MONNIERA1C1	V1295Aql	0.0	FSUA_OBS_188_0006.fits	188_0023	188_0045	188_0046	188
P93MONNIERA1C1	HD187929	0.0	FSUA_OBS_188_0007.fits	188_0024	188_0047	188_0048	188


OBS		ID		Kmag	FSUA			SkyCal BG	FF1		FF2		LabCal
P93KRAUSU14	HD139127     	0.0	FSUA_OBS_103_0001.fits  103_0001        103_0001	103_0002	096
P93KRAUSU14	HD142527     	0.0	FSUA_OBS_103_0002.fits  103_0002        103_0003	103_0004	096
P93KRAUSU14	HD139127     	0.0	FSUA_OBS_103_0003.fits  103_0004        103_0007	103_0008	096
P93KRAUSU14	HD147084     	0.0	FSUA_OBS_103_0004.fits  103_0006        103_0011	103_0012	096
P93KRAUSU14	DoAr25       	0.0	FSUA_OBS_103_0005.fits  103_0008        103_0015	103_0016	096
P93KRAUSU14	HD147084     	0.0	FSUA_OBS_103_0006.fits  103_0009        103_0017	103_0018	096
P93KRAUSU14	V2246Oph     	0.0	FSUA_OBS_103_0007.fits  103_0010        103_0019	103_0020	096
P93KRAUSU14	HD147084     	0.0	FSUA_OBS_103_0008.fits  103_0011        103_0021	103_0022	096
#mergedP93KRAUSU14	HD141569A    	0.0	FSUA_OBS_103_0009.fits  103_0012        103_0023	103_0024	096
P93KRAUSU14	HD141569A    	0.0	FSUA_OBS_103_0010.fits  103_0012        103_0023	103_0024	096
P93KRAUSU14	HD136028     	0.0	FSUA_OBS_103_0011.fits  103_0013        103_0025	103_0026	096
P93KRAUSU14	SR21         	0.0	FSUA_OBS_103_0012.fits  103_0014        103_0027	103_0028	096
#mergedP93KRAUSU14	SR21         	0.0	FSUA_OBS_103_0013.fits  103_0014        103_0027	103_0028	096
P93KRAUSU14	HD147084     	0.0	FSUA_OBS_103_0014.fits  103_0015        103_0029	103_0030	096
P93KRAUSU14	SR24N        	0.0	FSUA_OBS_103_0015.fits  103_0017        103_0033	103_0034	096

P93KRAUSU23	HD92682      	0.0	FSUA_OBS_104_0001	104_0001	104_0001	104_0002	096
P93KRAUSU23	CSCha        	0.0	FSUA_OBS_104_0002	104_0002	104_0003	104_0004	096
#mergedP93KRAUSU23	CSCha        	0.0	FSUA_OBS_104_0003	104_0003	104_0005	104_0006	096
P93KRAUSU23	HD105340     	0.0	FSUA_OBS_104_0004	104_0004	104_0007	104_0008	096
P93KRAUSU23	SZCha        	0.0	FSUA_OBS_104_0005	104_0005	104_0009	104_0010	096
P93KRAUSU23	HD92682      	0.0	FSUA_OBS_104_0006	104_0006	104_0011	104_0012	096
P93KRAUSU23	HD142527     	0.0	FSUA_OBS_104_0007	104_0007	104_0013	104_0014	096
